no_demande,id_permis,date_debut,date_emission,emplacement,arrondissement,code_type_base_demande,description_type_demande,description_type_batiment,description_categorie_batiment,nature_travaux,nb_logements,longitude,latitude,loc_x,loc_y,annee,nature_travaux_clean
3000902275,3000536056,2014-10-24,2016-03-07, 5930  rue Saint-André,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,1 Logement,"TRANSFORMER LE BÂTIMENT EN RÉSIDENCE UNIFAMILIALE. RÉAMÉNAGEMENT INTÉRIEUR AU RDC ET AJOUT D'UN ESCALIER INTÉRIEUR. À L'ARRIÈRE, MODIFIER LES OUVERTURES EXISTANTES.",0.0,-73.59802053079333,45.53443504893242,297144.34,5043840.13,2016,"transformer le bâtiment en résidence unifamiliale. réaménagement intérieur au rdc et ajout d'un escalier intérieur. à l'arrière, modifier les ouvertures existantes."
3000900682,3000545459,2014-10-17,2016-06-01, 6526  rue Garnier,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,3 Logements,AGRANDISSEMENT EN AIIRE DE BÂTIMENT SUR 2 ÉTAGES. TEL QUE PLANS.,0.0,-73.59911936854056,45.541474181040925,297059.49,5044622.5,2016,agrandissement en aiire de bâtiment sur 2 étages. tel que plans.
3000895762,3000539842,2014-10-08,2016-04-21, 7400  boulevard Saint-Laurent,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,12 Logements +,"CONSTRUCTION PHASE 4 : Construire un batiment de 96 logements sur 6 étages, stationnment en sous-sol. Phases 1, 2, 3 et 4 reliées en sous-sol. Réaliser un nouvel aménagement paysager, protection arbres tel que mesures approuvées de l'ing forestier. Voir plans",96.0,,,,,2016,"construction phase 4 : construire un batiment de 96 logements sur 6 étages, stationnment en sous-sol. phases 1, 2, 3 et 4 reliées en sous-sol. réaliser un nouvel aménagement paysager, protection arbres tel que mesures approuvées de l'ing forestier. voir plans"
3001062908,3000539826,2015-09-25,2016-04-21, 6769  rue Waverly,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,1 Logement,"TRANSFORMER DUPLEX EN UNIFAMILIALE AVEC MODIFICATIONS STRUCTURALES. AU 2E ÉTAGE, À L'ARRIÈRE, AGRANDIR EN AIRE DE PLANCHER. EN FAÇADE ET À L'ARRIÈRE MODIFIER OUVERTURES ET PAREMENTS. AU TOIT, AMÉNAGER UNE TERRASSE AVEC NOUVEL ESCALIER D'ACCÈS EXTÉRIEUR ARRIÈRE. TEL QUE DOCUMENTS SOUMIS.",-1.0,-73.61505242954988,45.53094015606501,295813.55,5043453.5,2016,"transformer duplex en unifamiliale avec modifications structurales. au 2e étage, à l'arrière, agrandir en aire de plancher. en façade et à l'arrière modifier ouvertures et parements. au toit, aménager une terrasse avec nouvel escalier d'accès extérieur arrière. tel que documents soumis."
3001072525,3000534617,2015-10-14,2016-02-04, 7956  rue Saint-Hubert,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,5 à 11 Logements ,"Au niveau du RDC, transformation du commerce (7962) existant en logement. Aucun travail en facade du batiment, ni changement à la structure.",1.0,-73.62456167431158,45.54542943406064,295073.31,5045064.82,2016,"au niveau du rdc, transformation du commerce (7962) existant en logement. aucun travail en facade du batiment, ni changement à la structure."
3001086311,3000533705,2015-11-05,2016-01-14, 7447  rue Fabre,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,3 Logements,"AU SOUS-SOL, AMÉNAGER UN 3e LOGEMENT.",1.0,-73.61266644339403,45.54899320125006,296002.73,5045459.49,2016,"au sous-sol, aménager un 3e logement."
3001073526,3000838015,2015-10-15,2019-06-28, 5675  rue Saint-Denis,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,12 Logements +,"SUITE À LA DEMANDE # 3001025914: AMÉNAGER UN PASSAGE SOUTERRAIN ENTRE LES HABITATIONS ST-VALLIER ET L'ILOT DU MÉTRO DE ROSEMONT AVEC UN RÉAMÉNAGEMENT MINEUR DU STATIONNEMENT SOUTERRAIN, TEL QUE DOCUMENTS SOUMIS.",0.0,-73.59655973563429,45.53081109140864,297257.95,5043437.25,2019,"suite à la demande # 3001025914: aménager un passage souterrain entre les habitations st-vallier et l'ilot du métro de rosemont avec un réaménagement mineur du stationnement souterrain, tel que documents soumis."
3001080765,3000536256,2015-10-28,2016-03-09, 2280  rue Saint-Clément,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Résidentiel,1 Logement,À L'ARRIÈRE AGRANDISSEMENT DE 20.01 MC DU RDC ET DU SS  + RÉAMÉNAGEMENT COMPLET DE L'EXISTANT.,0.0,-73.54036080764504,45.55968647114011,301649.13,5046642.47,2016,à l'arrière agrandissement de 20.01 mc du rdc et du ss  + réaménagement complet de l'existant.
3001069647,3000544628,2015-10-08,2016-05-30,11349  avenue des Laurentides,Montréal-Nord,TR,Transformation,Résidentiel,Bifamiliale,"Dégarnissage des deux étages et reconstruction complète des deux logements, tel que plans",0.0,-73.64850087605332,45.59140879849336,293213.41,5050177.77,2016,"dégarnissage des deux étages et reconstruction complète des deux logements, tel que plans"
3001088150,3000661373,2015-11-10,2017-08-28, 1220  rue Saint-Marc,Ville-Marie,TR,Travaux d'agrandissement,Résidentiel,5 à 11 Logements ,"Agrandir vers l'ouest en aire de bâtiment (±100 m²) sur 2 étages et une construction hors-toit pour aménager 5 nouveaux logements, tels que plans approuvés.",5.0,-73.57919242519937,45.49178981089559,298610.19,5039099.31,2017,"agrandir vers l'ouest en aire de bâtiment (±100 m²) sur 2 étages et une construction hors-toit pour aménager 5 nouveaux logements, tels que plans approuvés."
3001064106,3000536693,2015-09-29,2016-03-15,  149  rue Butternut,Le Sud-Ouest,TR,Transformation,Résidentiel,2 Logements,Agrandissement du bâtiment à l'arrière. Rajout d'un étage sur l'extension.,0.0,-73.58667728474339,45.47103030114312,298022.68,5036792.91,2016,agrandissement du bâtiment à l'arrière. rajout d'un étage sur l'extension.
3001050865,3000563543,2015-09-01,2016-07-29, 3019  avenue Cedar,Ville-Marie,TR,Travaux extérieurs-intérieurs,Résidentiel,1 Logement,"En cour latérale droite, agrandissement de 1 étage en aire de bâtiment (18,34m²)  par l'ajout d'un solarium tels que plans approuvés",0.0,-73.59348786125611,45.49458204366656,297493.2,5039410.81,2016,"en cour latérale droite, agrandissement de 1 étage en aire de bâtiment (18,34m²)  par l'ajout d'un solarium tels que plans approuvés"
3001047013,3000539089,2015-08-20,2016-04-14, 9660  rue De Saint-Firmin,Ahuntsic - Cartierville,TR,Transformation,Résidentiel,2 Logements,"En cour arrière, agrandir sur 2 étages un bâtiment résidentiel de 2 étages, 2 logements",0.0,-73.64461460605426,45.5673992325419,293511.82,5047508.98,2016,"en cour arrière, agrandir sur 2 étages un bâtiment résidentiel de 2 étages, 2 logements"
3001034160,3000544554,2015-07-17,2016-05-27,  639  rue Bourgeoys,Le Sud-Ouest,TR,Transformation,Résidentiel,3 Logements,"Aménager une terrasse sur le toit à l'usage exclusif du logement du 3e étage (643), modifier la hauteur des écrans en façade de manière à assurer un retrait de 2 fois la hauteur de la terrasse. En cour arrière, aménager un escalier reliant le 3e étage à la terrasse.",0.0,-73.55952468397237,45.48015639408796,300146.5,5037805.16,2016,"aménager une terrasse sur le toit à l'usage exclusif du logement du 3e étage (643), modifier la hauteur des écrans en façade de manière à assurer un retrait de 2 fois la hauteur de la terrasse. en cour arrière, aménager un escalier reliant le 3e étage à la terrasse."
3001030546,3000663294,2015-07-10,2017-09-08, 2375  rue Grand Trunk,Le Sud-Ouest,TR,Transformation,Résidentiel,4 à 8 logements,"Démanteler la partie d'un étage façe à la rue Ropery, agrandir le bâtiment en hauteur et dans la cour ayant front sur Ropery, dégarnir les 2 étages et réaménager au complet les 4 logements sur 3 étages. Réaménager les façades et restaurer la corniche telle que composante d'origine. 2 unités de stationnement.",0.0,,,,,2017,"démanteler la partie d'un étage façe à la rue ropery, agrandir le bâtiment en hauteur et dans la cour ayant front sur ropery, dégarnir les 2 étages et réaménager au complet les 4 logements sur 3 étages. réaménager les façades et restaurer la corniche telle que composante d'origine. 2 unités de stationnement."
3001051598,3000534055,2015-09-02,2016-01-22, 5609  rue Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Résidentiel,3 Logements,RÉAMÉNAGEMENT DU SOUS-SOL + 1 CASE DE STATIONNEMENT EN MOINS AVEC FONDS DE COMPENSATION TEL QUE PLANS. MODIF DES ESCALIERS ARRIÈRES.,0.0,-73.54017500948206,45.607438124019495,301666.29,5051949.2,2016,réaménagement du sous-sol + 1 case de stationnement en moins avec fonds de compensation tel que plans. modif des escaliers arrières.
3001042925,3000629240,2015-08-07,2017-01-30, 5321  rue Jeanne-Mance,Le Plateau-Mont-Royal,TR,Agrandissement,Résidentiel,3 Logements,"À l'arrière au rc, démolir 14.22m² (la partie cuisine) et agrandir de 49m² sur 1 étage + sous-sol.  Revêtement en brique d'argile modèle Thuya de Hanson, format modulaire. Au toit de l'agrandissement, aménager un parcours d'issue avec garde-corps et escalier hélicoïdal, le tout en acier. Réaménagement partiel du rc et du sous-sol. Dans la cour arrière, planter un arbre mature.",0.0,-73.59900401822517,45.52199924013523,297065.83,5042458.22,2017,"à l'arrière au rc, démolir 14.22m² (la partie cuisine) et agrandir de 49m² sur 1 étage + sous-sol.  revêtement en brique d'argile modèle thuya de hanson, format modulaire. au toit de l'agrandissement, aménager un parcours d'issue avec garde-corps et escalier hélicoïdal, le tout en acier. réaménagement partiel du rc et du sous-sol. dans la cour arrière, planter un arbre mature."
3001044408,3000536991,2015-08-13,2016-03-21,11096  avenue des Récollets,Montréal-Nord,TR,Transformation,Résidentiel,Bif. avec log. au sous-sol,"AMÉNAGEMENT D'UN LOGEMENT DE TROIS-PIÈCES ET DEMI AU SOUS-SOL D'UN BÂTIMENT BIFAMILLIALE EXISTANT (ATTRIBUTION DU NUMÉRO CIVIQUE 11 094, AVENUE DES RÉCOLLETS)",1.0,-73.64215876159876,45.592014495528325,293708.37,5050244.18,2016,"aménagement d'un logement de trois-pièces et demi au sous-sol d'un bâtiment bifamilliale existant (attribution du numéro civique 11 094, avenue des récollets)"
3001028219,3000534540,2015-07-07,2016-02-02, 6839  rue Molson,Rosemont - La Petite-Patrie,TR,Transformation,Résidentiel,2 Logements,À L'ARRIÈRE AGRANDIR SUR DEUX ÉTAGES + NOUVELLE TERRASSE ET RÉAMÉNAGEMENT LES AIRES DE PLANCHER TEL QUE PLANS,0.0,-73.5965373428176,45.55253218480046,297262.6,5045851.14,2016,à l'arrière agrandir sur deux étages + nouvelle terrasse et réaménagement les aires de plancher tel que plans
3001110776,3000534097,2015-12-14,2016-01-25, 1300  avenue des Pins Ouest,Ville-Marie,TR,Travaux intérieurs,Résidentiel,5 à 11 Logements ,"Au 2e sous-sol, aménager un logement. Du 1er sous-sol au 3e étage, réaménager les aires de plancher en sept logements. Tels que plans approuvés. Aucuns travaux extérieurs.",0.0,,,,,2016,"au 2e sous-sol, aménager un logement. du 1er sous-sol au 3e étage, réaménager les aires de plancher en sept logements. tels que plans approuvés. aucuns travaux extérieurs."
3001037726,3000542881,2015-07-23,2016-05-13, 6421  avenue du Languedoc,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Résidentiel,3 Logements,"EN ARRIÈRE, AGRANDISSEMENT EN AIRE DE BÂTIMENT AU RDC. AMÉNAGEMENT D'UNE TERRASSE SUR LE TOIT DE L'AGRANDISSEMENT. REMPLACER L'ESCALIER EXTÉRIEUR MENANT 2EME AU NIVEAU DU SOL.",0.0,-73.56146797322421,45.584983251263296,300003.49,5049454.79,2016,"en arrière, agrandissement en aire de bâtiment au rdc. aménagement d'une terrasse sur le toit de l'agrandissement. remplacer l'escalier extérieur menant 2eme au niveau du sol."
3001049531,3000574276,2015-08-27,2016-09-08,10177  boulevard Gouin Est,Rivière-des-Prairies - Pointe-aux-Trembles,TR,Transformation,Résidentiel,1 Logement,AGRANDIR BÂTIMENT UNIFAMILIAL AVEC RÉAMÉNAGEMENT DE LA PARTIE EXISTANTE.,0.0,-73.5608164141425,45.66419108903472,300061.02,5058257.35,2016,agrandir bâtiment unifamilial avec réaménagement de la partie existante.
3001060245,3000533908,2015-09-23,2016-01-19, 7356  rue Berri,Villeray - Saint-Michel - Parc-Extension,TR,Transformation,Résidentiel,3 Logements,"Ajout d'une construction hors toit sur le batiment existant. (voir # 3001047866) Conformément aux cinq plans estampillés en date du présent permis, par DAUSE le 8 décembre 2015et approuvée par le Conseil d'arrondissement.",0.0,,,,,2016,"ajout d'une construction hors toit sur le batiment existant. (voir # 3001047866) conformément aux cinq plans estampillés en date du présent permis, par dause le 8 décembre 2015et approuvée par le conseil d'arrondissement."
3001043085,3000535947,2015-08-07,2016-03-04, 1524  rue Saint-Antoine Ouest,Ville-Marie,TR,Travaux d'agrandissement,Résidentiel,3 Logements,"Sur le toit, ajouter une construction hors-toit (mezzanine) de ± 32m² et deux terrasses (avant et arrière) ainsi qu'un nouvel escalier d'issue hélicoidal arrière menant au niveau du sol (prolonger celui existant). Construire un escalier intérieur au 3e étage donnant accès à la mezzanine. Tel qu'aux plans approuvés.",0.0,-73.57158198421345,45.49283234052104,299205.14,5039214.61,2016,"sur le toit, ajouter une construction hors-toit (mezzanine) de ± 32m² et deux terrasses (avant et arrière) ainsi qu'un nouvel escalier d'issue hélicoidal arrière menant au niveau du sol (prolonger celui existant). construire un escalier intérieur au 3e étage donnant accès à la mezzanine. tel qu'aux plans approuvés."
3001047727,3000534960,2015-08-24,2016-02-10, 4097  rue Beaudin,Montréal-Nord,TR,Transformation,Résidentiel,Unifamiliale,"AGRANDISSEMENT D'UNE TERRASSE SITUÉ EN COUR ARRIÈRE, INCLUANT LA CONSTRUCTION D'UN TOIT RATTACHÉ AU BÂTIMENT.  (DIMENSIONS EXISTANTES : 3,06 m X 1,52 m -> NOUVEAU : 3,06 m X 4,04 m)",0.0,-73.64395094011277,45.59609620261609,293569.35,5050698.04,2016,"agrandissement d'une terrasse situé en cour arrière, incluant la construction d'un toit rattaché au bâtiment.  (dimensions existantes : 3,06 m x 1,52 m -> nouveau : 3,06 m x 4,04 m)"
3001099610,3000540865,2015-11-24,2016-05-02, 2590  rue Saint-Germain,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Résidentiel,1 Logement,"CONVERTIR UN IMMEUBLE DE 2 LOGEMENTS EN UNE RÉSIDENCE UNIFAMILIALE PAR L'ENLÈVEMENT D'UN MUR AU NIVEAU DU RDC, TEL QUE PLAN. ENLEVER L'ADRESSE 2590.",-1.0,-73.55515882780301,45.54390629693172,300492.68,5044889.48,2016,"convertir un immeuble de 2 logements en une résidence unifamiliale par l'enlèvement d'un mur au niveau du rdc, tel que plan. enlever l'adresse 2590."
3001061796,3000572737,2015-09-24,2016-09-02,12300  avenue Fortin,Montréal-Nord,TR,Transformation,Résidentiel,Bif. avec log. au sous-sol,"AMÉNAGEMENT D'UN LOGEMENT 3½ AU SOUS-SOL D'UN BÂTIMENT EXISTANT DE TYPE BIFAMILIALE (ATTRIBUTION DU NUMÉRO CIVIQUE 12298, AVENUE FORTIN)",1.0,-73.62546859712795,45.61643258020146,295014.83,5052955.65,2016,"aménagement d'un logement 3½ au sous-sol d'un bâtiment existant de type bifamiliale (attribution du numéro civique 12298, avenue fortin)"
